log_id,user_id,video_id,watch_date,subscribed,playlist_name,video_title
146617,25,3Ad0Vebb0o0,2018-08-10 01:11:23,,,Prince Charming's Third First Kiss
146618,25,qMFpOcLroOg,2018-08-10 01:09:31,,,Can you solve the rogue AI riddle? - Dan Finkel
146619,25,_nNCjYdPcsY,2018-08-10 01:09:10,,,Johny Johny Yes Papa 3D Nursery Rhymes & Songs For Babies - Live Stream
146620,25,WBkboKqHI0s,2018-08-10 01:08:49,,,Sesame Street: Elmo's Nursery Rhyme with Kate McKinnon
146621,25,cfcpTOqmOZA,2018-08-10 01:08:09,,,In The Field: Toronto Zoo Bat Diaries
146622,25,LIN5suGLDmo,2018-08-10 01:07:25,,,GOOD DOG & Pet Adoption | Cori Doerrfeld
146623,25,XOOy4JQXOrQ,2018-08-10 01:06:26,,,Camp Lakebottom - Best of Season 1 (Part 8)
146624,25,NsErgG1JVxY,2018-08-10 01:05:49,,,Educational Videos for Kids with Surprise Eggs Toys and Larry | Videos for Kids by BabyFirst
146625,25,cl2Az8QFBck,2018-08-10 01:05:34,,,Charlie’s Desert Adventure | We Bare Bears | Cartoon Network
146626,25,bQFVM8ywxtw,2018-08-10 01:04:03,,,I've Been Puffer Pranked! - The Deep End Minecraft SMP
146627,25,O2YtOl8toVE,2018-08-10 01:03:43,,,Water Cycle Song
146629,25,0RBtjMuwrxE,2018-08-10 01:00:25,,,Learn Foods For Kids: The Little Ant | Lottie Dottie Chicken | Nursery Rhymes For Children
146630,25,l08W6aTW4PE,2018-08-10 12:59:30,,,Going Green Song
146631,25,w-J57T05sww,2018-08-10 12:58:58,,,Duck | First Words | Baby Learning | The Kiboomers
146632,25,4rT21iXjxkg,2018-08-10 12:57:54,,,How did an Asteroid Drive the Dinosaurs to Extinction? | The Travel Edit
146634,25,8S2CLjNOoNE,2018-08-10 12:55:46,,,Iso-Area Flasher Vortex by Kawasaki
146635,25,KJgsFhJo5bE,2018-08-10 12:55:25,,,Parts of the Body Song
146636,25,Bl_oEKDXfD8,2018-08-10 12:46:47,,,BE BOP A LULA Demo Line Dance
146637,25,CEiZ4LmjefE,2018-08-09 21:42:19,,,BSB2
146638,25,gU1VXJ_hGPU,2018-08-09 21:41:39,,,BSG5
146639,25,To7WbJyAMDI,2018-08-09 21:41:07,,,BCG5
146640,25,YCTeCzyRLZY,2018-08-09 21:40:31,,,BCB5
146641,25,qPg7ZQPabek,2018-08-09 21:39:55,,,BSG2
